Pore Volume of Water Injected,Pore Volume of Oil Produced,WaterCut,n,m,,
4.3,0.11599,0.00204,1.5,6,,
4.4,0.1158,0.00201,1.5,6,,
4.5,0.1156,0.00198,1.5,6,,
4.6,0.1154,0.00195,1.5,6,,
4.7,0.11521,0.00192,1.5,6,,
4.8,0.11503,0.0019,1.5,6,,
4.9,0.11484,0.00187,1.5,6,,
0.1,0,0,1.5,5.5,4,
0.2,0.00392,-0.78375,1.5,5.5,,
0.3,0.0875,-0.87236,1.5,5.5,,
0.4,0.11865,0.00684,1.5,5.5,,
0.5,0.11797,0.00694,1.5,5.5,,
0.6,0.11729,0.00648,1.5,5.5,,
0.7,0.11665,0.00617,1.5,5.5,,
0.8,0.11606,0.00592,1.5,5.5,,
0.9,0.11548,0.0056,1.5,5.5,,
1,0.11493,0.00533,1.5,5.5,,
1.1,0.11442,0.00509,1.5,5.5,,
1.2,0.11392,0.00487,1.5,5.5,,
1.3,0.11343,0.00468,1.5,5.5,,
1.4,0.11298,0.0045,1.5,5.5,,
1.5,0.11255,0.00434,1.5,5.5,,
1.6,0.11212,0.00418,1.5,5.5,,
1.7,0.11171,0.00404,1.5,5.5,,
1.8,0.1113,0.00389,1.5,5.5,,
1.9,0.11092,0.00377,1.5,5.5,,
2,0.11055,0.00366,1.5,5.5,,
2.1,0.1102,0.00355,1.5,5.5,,
2.2,0.10985,0.00345,1.5,5.5,,
2.3,0.10951,0.00336,1.5,5.5,,
2.4,0.10918,0.00327,1.5,5.5,,
2.5,0.10885,0.00317,1.5,5.5,,
2.6,0.10853,0.00309,1.5,5.5,,
2.7,0.10823,0.00301,1.5,5.5,,
2.8,0.10793,0.00294,1.5,5.5,,
2.9,0.10765,0.00288,1.5,5.5,,
3,0.10737,0.00282,1.5,5.5,,
3.1,0.10709,0.00276,1.5,5.5,,
3.2,0.10682,0.0027,1.5,5.5,,
3.3,0.10656,0.00265,1.5,5.5,,
3.4,0.1063,0.00259,1.5,5.5,,
3.5,0.10603,0.00254,1.5,5.5,,
3.6,0.10578,0.00249,1.5,5.5,,
3.7,0.10554,0.00243,1.5,5.5,,
3.8,0.10529,0.00238,1.5,5.5,,
3.9,0.10505,0.00233,1.5,5.5,,
4,0.10482,0.00229,1.5,5.5,,
4.1,0.10459,0.00225,1.5,5.5,,
4.2,0.10437,0.00221,1.5,5.5,,
4.3,0.10415,0.00218,1.5,5.5,,
4.4,0.10395,0.00214,1.5,5.5,,
4.5,0.10374,0.00211,1.5,5.5,,
4.6,0.10353,0.00208,1.5,5.5,,
4.7,0.10333,0.00205,1.5,5.5,,
4.8,0.10313,0.00202,1.5,5.5,,
4.9,0.10294,0.00199,1.5,5.5,,
0.1,0,0,1.5,5,5,
0.2,0,0,1.5,5,,
0.3,0.07841,-0.86295,1.5,5,,
0.4,0.10881,0.01283,1.5,5,,
0.5,0.10762,0.01121,1.5,5,,
0.6,0.10657,0.00973,1.5,5,,
0.7,0.10565,0.00878,1.5,5,,
0.8,0.10482,0.00802,1.5,5,,
0.9,0.10405,0.00738,1.5,5,,
1,0.10333,0.00683,1.5,5,,
1.1,0.10268,0.00639,1.5,5,,
1.2,0.10206,0.00603,1.5,5,,
1.3,0.10146,0.00568,1.5,5,,
1.4,0.10091,0.00539,1.5,5,,
1.5,0.1004,0.00515,1.5,5,,
1.6,0.0999,0.00491,1.5,5,,
1.7,0.09941,0.00469,1.5,5,,
1.8,0.09895,0.00448,1.5,5,,
1.9,0.09851,0.0043,1.5,5,,
2,0.09809,0.00416,1.5,5,,
2.1,0.09769,0.00402,1.5,5,,
2.2,0.0973,0.00388,1.5,5,,
2.3,0.09691,0.00375,1.5,5,,
2.4,0.09654,0.00363,1.5,5,,
2.5,0.09618,0.0035,1.5,5,,
2.6,0.09583,0.0034,1.5,5,,
2.7,0.0955,0.00331,1.5,5,,
2.8,0.09517,0.00322,1.5,5,,
2.9,0.09487,0.00314,1.5,5,,
3,0.09456,0.00306,1.5,5,,
3.1,0.09425,0.00299,1.5,5,,
